"","flg","elf","pep","nlp","OGs","CO8","LPS","C3"
"AT5G37710",1,0,0,0,0,0,0,0
"AT1G06620",1,1,1,0,0,0,0,0
"AT5G61450",1,1,0,1,0,0,0,0
"AT4G09460",1,1,1,1,0,0,0,1
"AT1G63370",1,0,0,0,0,0,0,0
"AT2G40890",1,1,1,0,1,0,0,0
"AT5G61560",1,1,1,1,1,1,1,1
"AT5G02290",1,1,1,1,1,1,1,0
"AT5G59170",1,0,0,1,0,0,0,0
"AT1G28390",1,1,1,1,1,1,1,0
"AT4G37390",1,1,1,1,1,0,0,0
"AT4G03460",1,1,1,1,1,1,1,0
"AT3G21865",1,0,0,0,0,0,0,0
"AT1G67470",1,1,1,1,1,1,1,0
"AT2G36580",1,1,1,1,0,0,0,0
"AT5G51700",1,0,0,0,0,0,0,0
"AT4G21680",1,1,1,1,1,0,0,0
"AT3G19020",1,1,1,1,1,0,0,0
"AT3G15530",1,1,1,1,1,1,0,0
"AT2G26240",1,0,0,0,0,0,0,0
"AT5G28237",1,0,0,0,0,0,0,0
"AT3G47480",1,1,1,1,1,1,1,0
"AT3G15534",1,1,0,0,0,0,0,0
"AT4G28860",1,0,0,0,0,0,0,0
"AT5G59570",1,1,1,1,1,1,0,0
"AT3G24090",1,1,1,1,1,1,1,0
"AT5G43100",1,0,0,0,0,0,0,0
"AT4G12040",1,1,1,1,1,0,0,0
"AT1G09210",1,1,1,1,1,1,0,0
"AT1G11925",1,1,1,1,1,0,0,0
"AT5G64090",1,0,0,0,0,0,0,0
"AT3G10800",1,1,1,1,0,0,0,0
"AT1G11920",1,0,0,0,1,0,0,0
"AT3G05050",1,0,1,1,0,0,0,0
"AT2G03470",1,0,0,0,0,0,0,0
"AT4G13395",1,1,1,1,1,1,1,1
"AT1G07660",1,1,0,0,1,0,0,0
"AT4G04500",1,1,0,0,0,0,0,0
"AT5G39630",1,0,0,1,0,0,0,0
"AT4G22305",1,1,1,1,1,1,0,0
"AT5G17380",1,1,1,1,1,0,0,0
"AT3G12400",1,1,0,0,1,0,0,0
"AT5G20410",1,0,0,0,0,0,0,0
"AT2G41630",1,0,0,0,0,0,0,0
"AT5G48655",1,1,1,1,1,1,0,0
"AT4G05050",1,1,0,1,1,0,0,0
"AT5G48657",1,1,1,1,1,1,1,0
"AT5G23490",1,1,0,1,0,0,0,0
"AT3G53270",1,1,0,0,0,0,0,0
"AT5G21960",1,1,1,1,1,0,0,0
"AT5G44370",1,1,1,0,1,0,0,0
"AT3G21660",1,1,1,1,1,0,0,0
"AT1G20510",1,1,1,1,1,1,1,0
"AT2G46260",1,1,1,1,0,0,0,0
"AT1G12030",1,1,0,1,1,0,0,0
"AT4G31820",1,1,0,0,0,0,0,0
"AT5G13180",1,0,0,0,0,0,0,1
"AT1G75280",1,0,0,0,0,0,0,0
"AT4G17030",1,0,0,0,1,0,0,0
"AT2G43120",1,1,1,1,1,0,0,1
"AT5G04980",1,1,0,1,0,0,0,0
"AT1G53640",1,0,0,0,1,0,0,0
"AT1G45145",1,1,1,1,1,0,0,0
"AT1G12580",1,1,1,1,1,1,0,0
"AT2G45120",1,1,0,0,0,0,0,0
"AT5G21090",1,1,1,1,1,0,0,0
"AT1G51780",1,0,0,0,0,0,0,0
"AT5G01610",1,1,0,0,0,0,0,0
"AT5G52760",1,1,1,1,1,1,1,0
"AT5G48780",1,0,0,0,0,0,0,0
"AT3G20390",1,0,0,0,0,0,0,0
"AT5G51060",1,1,1,1,1,0,0,0
"AT1G76700",1,1,1,1,1,1,1,0
"AT2G31865",1,1,1,1,1,1,1,0
"AT3G56710",1,1,1,1,1,1,0,1
"AT3G06420",1,1,1,1,1,0,0,0
"AT1G76705",1,1,1,1,0,0,0,0
"AT5G26030",1,1,1,1,1,1,1,0
"AT5G22060",1,1,1,1,1,1,0,0
"AT1G10290",1,0,0,0,0,0,0,0
"AT1G07000",1,1,1,1,1,1,1,0
"AT2G30750",1,1,1,1,1,1,1,0
"AT5G07440",1,1,1,1,1,0,0,0
"AT3G10500",1,1,1,1,1,0,0,1
"AT3G33103",1,0,1,0,0,0,0,0
"AT5G08139",1,1,1,1,0,0,0,0
"AT2G25100",1,1,0,0,0,0,0,0
"AT3G43230",1,0,0,0,0,0,0,0
"AT5G45510",1,1,0,0,0,0,0,0
"AT2G07758",1,0,1,0,0,0,0,0
"AT2G29110",1,1,1,1,1,1,1,0
"AT4G02330",1,1,1,1,1,1,1,0
"AT2G20960",1,1,1,1,1,1,1,0
"AT1G11100",1,1,1,1,1,0,0,0
"AT5G44570",1,1,1,1,1,1,0,0
"AT2G03505",1,1,1,1,1,0,0,0
"AT5G44572",1,1,0,0,1,0,0,0
"AT2G33710",1,1,1,1,1,1,1,1
"AT5G44090",1,1,1,1,0,0,0,0
"AT4G33890",1,1,0,0,0,0,0,0
"AT4G16840",1,1,1,1,1,0,0,0
"AT5G12050",1,1,0,0,0,0,0,0
"AT2G41870",1,0,0,0,0,0,0,0
"AT3G57390",1,0,0,0,0,0,0,0
"AT1G20350",1,1,1,1,1,0,1,0
"AT5G13500",1,1,0,1,0,0,0,0
"AT5G22120",1,0,0,0,0,0,0,0
"AT1G23550",1,1,1,1,1,0,1,0
"AT2G32660",1,1,1,1,1,0,1,0
"AT4G37370",1,1,1,1,1,1,1,1
"AT3G19910",1,0,0,1,0,0,0,0
"AT2G04650",1,0,0,0,0,0,0,0
"AT1G69890",1,1,1,1,1,1,1,1
"AT2G37830",1,1,1,1,1,1,0,0
"AT3G07274",1,0,0,0,0,0,0,0
"AT4G11350",1,1,1,1,1,1,0,1
"AT4G39830",1,1,1,1,1,1,1,0
"AT4G14420",1,1,0,1,0,0,0,0
"AT3G16150",1,1,0,1,0,0,0,0
"AT1G70140",1,1,1,1,1,1,1,1
"AT4G38830",1,1,1,0,1,0,0,0
"AT1G70410",1,1,0,0,0,0,0,0
"AT3G61640",1,1,1,1,1,1,0,0
"AT5G54720",1,1,1,1,1,1,1,0
"AT1G71940",1,0,0,0,0,0,0,0
"AT5G58380",1,1,1,1,0,0,0,0
"AT3G53120",1,0,0,1,0,0,0,0
"AT1G30320",1,1,1,1,1,0,0,0
"AT3G53650",1,1,0,0,0,0,0,0
"AT3G30120",1,0,0,1,0,0,0,0
"AT2G45760",1,1,1,1,1,1,0,0
"AT2G40880",1,0,0,0,0,0,0,0
"AT3G26830",1,1,1,1,1,1,1,0
"AT4G11050",1,0,1,1,1,1,1,0
"AT2G13650",1,1,1,1,1,1,0,0
"AT1G74080",1,1,1,1,1,1,0,0
"AT4G36110",1,1,1,0,1,0,0,1
"AT3G53490",1,1,0,0,0,0,0,0
"AT2G39725",1,0,0,0,0,0,0,0
"AT5G38990",1,1,1,1,1,1,1,0
"AT1G11210",1,1,1,0,1,0,0,0
"AT4G30270",1,1,0,0,0,0,0,0
"AT1G73965",1,0,0,0,0,0,0,0
"AT4G34710",1,1,1,1,1,1,0,0
"AT2G38940",1,1,1,1,1,1,1,0
"AT1G70520",1,1,1,1,1,1,1,0
"AT1G57650",1,1,1,1,1,0,0,0
